Nome;CPF;DataNascimento;SalarioBruto;DescontoINSS;DescontoIR;SalarioLiquido;Parentesco
FUNCIONARIO;joao;16165050794;2000-05-02;3000.0;253.4;36.55499999999998;2710.045;
DEPENDENTE;Nathan;16165050795;2018-08-09;;;;;FILHO

DEPENDENTE;gabriel;16165050798;2019-02-03;;;;;SOBRINHO

FUNCIONARIO;polonio;16165050792;2000-12-01;7000.0;789.5800000000002;811.8655000000001;5398.5545;
DEPENDENTE;lincoln;16165050790;2018-08-09;;;;;OUTROS

FUNCIONARIO;Paulo;16156088063;2000-02-02;7500.0;859.58;930.1155000000001;5710.3045;
DEPENDENTE;Pedro;88888888888;2020-12-01;;;;;SOBRINHO

FUNCIONARIO;Gabriel Santos;66666666666;2000-05-01;10000.0;951.62;1592.3045000000002;7456.075499999999;
DEPENDENTE;Maria;99999999999;2018-01-10;;;;;FILHO

DEPENDENTE;Pedro ;66666666666;2020-12-01;;;;;SOBRINHO

FUNCIONARIO;Alex;00000000000;1980-11-01;10000.0;951.62;1592.3045000000002;7456.075499999999;
DEPENDENTE;Jose;77777777777;2021-02-01;;;;;OUTROS

